"Store","Department","Recipe Name","Old Price","New Price","Selling","New GP"
"Springbok Superspar","Sushi","RECIPE RYS",8.708988057825268,8.883167818981773,0.0,0,
"Springbok Superspar","Sushi","RECIPE  BAMBOO (4)",2.2899167357609964,2.3383800208219108,0.0,0,
"Springbok Superspar","Sushi","COMBO 10",54.57143494074366,52.23088984260707,145.99,58.856412549490976,
"Springbok Superspar","Sushi","HAND ROLL SALMON",22.56462916404777,23.0283581822753,0.0,0,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL (BILTONG)",1.4556141053565936,1.4879465357981065,0.0,0,
"Springbok Superspar","Sushi","RECIPE RAINBOW ROLL (BILTONG)",1.5548072910119424,1.5890125455688247,0.0,0,
"Springbok Superspar","Sushi","COMBO 2 BILTONG",30.480435281681977,27.9215850259077,84.99,62.21929311707982,
"Springbok Superspar","Sushi"," COMBO 1 (BILTONG)",23.217662903722623,21.821251600389157,59.99,58.16896259301962,
"Springbok Superspar","Sushi","RECIPE SANDWICH BILTONG",0.8756514560794095,0.898605425490124,0.0,0,
"Springbok Superspar","Sushi","COMBO 2 BILTONG",27.9215850259077,28.015237221103412,84.99,62.09257229760099,
"Springbok Superspar","Sushi","SUPER PLATTER",73.75437875645818,75.41677072197878,0.0,0,
"Springbok Superspar","Sushi"," COMBO 1 (BILTONG)",21.821251600389157,21.914903795584873,59.99,57.98943263056743,
"Springbok Superspar","Sushi","RECIPE BILTONG ROSES",1.4951797611565056,1.5286366235072284,0.0,0,
"Springbok Superspar","Sushi","COMBO 2 BILTONG",28.015237221103412,28.151741219494365,84.99,61.90786868758852,
"Springbok Superspar","Sushi","RECIPE MAKI BILTONG ",2.460703645505971,2.5114722727844123,0.0,0,
"Springbok Superspar","Sushi","COMBO 2 BILTONG",28.151741219494365,28.3588772187904,84.99,61.62759289138845,
"Springbok Superspar","Sushi"," COMBO 1 (BILTONG)",21.914903795584873,22.12203979488091,59.99,57.592355785775894,
"Springbok Superspar","Sushi","RECIPE RYS SUSHI",15.241181941515109,15.723668936725046,0.0,0,
"Springbok Superspar","Sushi","RECIPE SALMON ROSES",4.499269117553707,4.599097234607064,0.0,0,
"Springbok Superspar","Sushi","COMBO  8",99.44584251897629,98.43221700753908,224.99,49.6879641056625,
"Springbok Superspar","Sushi","COMBO  5",34.51859011557283,32.20641955606756,99.99,62.958913401862496,
"Springbok Superspar","Sushi","COMBO  6",43.14118132306538,41.59969790831554,99.99,52.1555629617333,
"Springbok Superspar","Sushi","COMBO  9",43.090908336184924,41.052008820486314,109.99,57.078088786654,
"Springbok Superspar","Sushi","COMBO 10",52.23088984260707,52.63818856018476,145.99,58.535573091162085,
"Springbok Superspar","Sushi","COMBO 11",62.72443410094103,58.6827380593264,184.99,63.519569291191225,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",107.75641188384569,102.25227083910032,200.0,41.20494426751732,
"Springbok Superspar","Sushi","COMBO  4 Salmon",58.27366172247765,57.23847727450491,109.99,40.15433324331244,
"Springbok Superspar","Sushi","COMBO 12 Salmon",72.17620858973619,69.25054443789746,199.99,60.178945895503745,
"Springbok Superspar","Sushi","LARGE PLATTER for TWO",119.13627474257682,115.37579095500605,179.99,26.283593756177044,
"Springbok Superspar","Sushi","RECIPE BAMBOO SALMON",2.4816986388303026,2.5411753463091915,0.0,0,
"Springbok Superspar","Sushi","RECIPE RAINBOW ROLL SALMON",2.5469147742689393,2.604004778943245,0.0,0,
"Springbok Superspar","Sushi","COMBO  6",41.59969790831554,41.832625127386706,99.99,51.88766987049234,
"Springbok Superspar","Sushi","COMBO  7",42.046309210156764,38.98058783250223,99.99,55.1678407767001,
"Springbok Superspar","Sushi","COMBO  9",41.052008820486314,41.28493603955748,109.99,56.83455182699236,
"Springbok Superspar","Sushi","COMBO 10",52.63818856018476,53.104042998327095,145.99,58.1686078169216,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",102.25227083910032,102.48519805817148,200.0,41.071011116551404,
"Springbok Superspar","Sushi","COMBO 12 Salmon",69.25054443789746,69.71639887603979,199.99,59.911066199587104,
"Springbok Superspar","Sushi","RECIPE KING SANDWICH SALMON",2.9143776370026493,2.9978871974173016,0.0,0,
"Springbok Superspar","Sushi","COMBO 13",82.83242114124342,80.47864357705183,119.99,22.868205589124432,
"Springbok Superspar","Sushi","RECIPE MAKI SALMON",2.199264774268939,2.2494017789432443,0.0,0,
"Springbok Superspar","Sushi","RECIPE NIGIRI AVO",0.9402229110642417,0.9669015570473528,0.0,0,
"Springbok Superspar","Sushi","GO GREEN AVO SUSHI",33.61417387083294,29.52401869947179,99.99,66.04398289389684,
"Springbok Superspar","Sushi","RECIPE RAINBOW ROLL PRAWN",0.5929087459403768,0.6127641428047891,0.0,0,
"Springbok Superspar","Sushi","RECIPE PRAWN ROSES",0.627884912026966,0.6552067123209292,0.0,0,
